municipio,ciudad
1002.0,"['CULIACAN' nan 'CULIACAN, SIN.' 'CONCORDIA' 'QUILA' 'ESCUINAPA' 'GUASAVE'
 'PUEBLITO SINALO' 'NAVOLATO' 'EL TIGRE,NAVOLA' 'ELDORADO']"
2001.0,['culiacan' 'B.CALIF.NTE']
2002.0,['CULIACAN']
2004.0,['TIJUANAN' 'TIJUANA']
3002.0,['CULIACAN']
3008.0,['SAN JOSE DEL CABO']
6009.0,['CULIACAN']
8016.0,['LA CRUZ']
8056.0,['ROSARIO']
10005.0,"['CULIACAN' 'DURANGO' 'TAMAZULA' 'TAMAZULA,' 'EL CARRIZAL']"
10034.0,"['CULIACAN' 'TAMAZULA DGO' 'TAMAZULA' 'DURANGO' 'TAMAZULA DURANGO'
 'TAMAZULA,' 'culiacan sinaloa']"
10037.0,"['TOPIA' 'TOPIA,']"
11015.0,"['CULIACAN, SIN.']"
11028.0,['CULIACAN']
13029.0,['CULIACAN']
14039.0,"['CULIACAN' 'CULIACAN,SIN.']"
14067.0,['CULIACAN' 'PUERTO VALLARTA']
18016.0,['CULIACAN']
18017.0,['CULIACAN']
18018.0,['CULIACAN']
20067.0,['CULIACAN']
21114.0,['CULIACAN']
25001.0,"['PUEBLOS UNIDOS' 'CULIACAN' 'LOS MOCHIS' 'COSTA RICA, CLN' 'TEPIC' 'LOS'
 'TOPOLOBAMPO' 'CULIACAN, SIN.' 'GUASAVE' 'AHOME' nan 'CULIACAN,SIN.'
 'Culiacan' 'BACHOCO']"
25002.0,"['ANGOSTURA' 'CULIACAN' 'LA REFORMA ANG.' 'AGR.' 'BATAMOTOS'
 'COL. AGRICOLA  INDEP' 'AGRICOLA INDEPEN, AN' 'LA REFORMA' 'ALHUEY'
 'CAPOMOS' 'RAFAEL' 'COSTA AZUL' 'LA' 'AGR. INDEPENDEN' 'CHINITOS.ANGOS.'
 'culiacan' 'ANGOSTURA,' 'CULIACÁN,' 'ANGOSTURA,SIN.' 'COL.' 'Angostura'
 'PALMITAS' 'la' 'angostura' 'AGRICOLA' 'BATURY' 'LEOPOLDO' 'SIND.' nan
 'AGUSTINA' 'ANGOSTURA, SIN.' 'PERICOS' 'MOCORITO' 'NAVOLATO , SINALOA'
 'COL. SINALOA' 'COSTA' 'PLAYA' 'AGUSTINA RAMIREZ' 'EJIDO' 'SAN'
 'Culiacan' 'L. SANCHEZ CELIS' 'AGRIC. INDEPENDENCIA' 'AGRICOLA MEXICO'
 'AGR. INDEPENDENCIA' 'ANGASTURA' 'GUAMUCHIL' 'EJ.' 'COLONIA SINALOA'
 'Sinaloa' 'CAMPO']"
25003.0,"['CONOCIDO EL VAREJONL' 'BADIRAGUATO' 'CULIACAN' 'RINCON DE LOS MONZON'
 'HUIXIOPA' 'SAN ANTONIO' 'PERICOS MOC.']"
25004.0,"['CONCORDIA' 'CONCORDIA,' 'MALPICA,CONCORD' 'CULIACAN' 'CULIACAN, SIN.'
 'LAS ARENITAS']"
25005.0,"['CULIACAN' 'cosala sin' 'culiacan' 'AGUARUTO,' 'COSALA,SIN.' 'COSALA'
 'HIGUERAS DE CAMPAÑA' 'CALAFATO' 'COSALA,']"
25006.0,"['CULIACAN, SIN.' 'CULIACAN' 'COSALA, SIN.' 'AHOME' 'V.ANGEL F. NAV.'
 'CULIACAN, SIN' 'COSTA RICA,CLN.' 'NAVOLATO, SIN.' 'CULICAN,SIN.'
 'GUASAVE' 'SINALOA DE LEYV' 'ELDORADO,CLN.' 'NAVOLATO' 'ANGOSTURA'
 'GUAMUCHIL' 'EL SALADO CLN' 'VILLA A.FLORES' 'MOCORITO' 'ELDORADO,CULIAC'
 'AGUT.CULIACAN' 'COSTA RICA, CUL' 'RECOVECO' 'COSTA RICA CLN'
 'QUILA, CULIACAN' 'COSTA RICA' 'EL DORADO' 'SIND.E.ZAPATA' 'AGUARUTO CLN'
 'COSTA, CULIACAN' 'CULIACANL' 'ELDORADO CLN' 'AGUARUTO, CLN.' 'QUILA'
 'CAIMANERO MOC' 'CON.SINALOA D L' 'COSTA RICA, CLN' 'ELDORADO' nan
 'MAZATLAN' 'COSTA rica' 'COSTA' 'Culiacan' 'EL MELON,QUILA' 'QUILA, CLN'
 'ELDORADO, CLN.' 'CLIACAN' 'ESCUINAPA' 'CARRET.COSTA R.' 'CULIACAN,SIN.'
 'CHAMETLA ROSARI' 'LA CRUZ,ELOTA' 'CULIACAN,  SIN.' 'AGUARUTO,CLN'
 'CULIAAN' 'culiacan' 'CULIACAN, SINALOA' 'EL SALADO' 'CULIACAN,' 'QUILA,'
 'VILLA' 'COSTArica' 'Culiacan,' 'COSTARICA' 'SIND. DE BAILA' 'EL dorado'
 'LA' 'CUALIACAN' 'ELDORADO, CLN' 'CULIACNA SIN.' 'CULIACAN,SIN'
 'COSTA RICA.CLN' 'ADOLFO L.M.CLN' 'AGRICOLA,ANGOST' 'EST. OBISPO CLN'
 'CULIACA, SIN.' 'COSTA RICA, SIN' 'GUASAVE, SIN.' 'LA PALMA ANG.'
 'AGUAVERDE,ROSAR' 'QUILA,CULIACAN' 'EL FUERTE' 'ELDOARADO,CLN'
 'TAMARINDO,CLN.' 'ALTATA, NAV.' 'EL TAMARINDO.C.' 'CULICAN'
 'COSTA RICA CLN.' 'COSTA RICA,CLN' 'P.UNIDOS CLN' 'EL VALLE MOC.'
 'V.A.FLORES NAV' 'CAMPO BALB.NAV' 'V.A.FLORES NAVO' 'L. DE LOS RAMOS'
 'V.A.FLORES NAV.' '.CULIACAN' 'CULIACANA' 'QUILA CLN' 'V. ANGEL FLORES'
 'CULIACANCITO' 'V.JUAREZ  NAV' 'EL' 'CULIANCA, SIN.' 'VILLA JUAREZ,N'
 'EL TAMARINDO,C.' 'ELDORADO,CLN' 'CULIANCAN' 'TAMARINDO,CLN'
 'EL DORADO, CLN.' 'villa' 'V.' 'ESTACION' 'CULIACAN SINALOA' 'Eldorado'
 'Culiacán' 'COSTA RICA, CULIACAN' 'LAS' 'Costa' 'CULIACAN|'
 'BACHIGUALATO' 'CULIACÁN' 'angostura' 'PUEBLOS' 'ELdorado' 'CAMPO'
 'EJIDO' 'guamuchil' 'LAGUNA' 'sinaloa' 'CONOCIDO' 'cul,' 'CAMPO 10'
 'AGUA' 'SIN.DE LEYVA' 'AGUARUTO,CULIAC' 'CULAICAN' 'ELDORADO,' 'mazatlan'
 'VILLA JUAREZ,N.' 'LA PALMA NAVOLA' 'eldorado' 'MOCORITO, SIN.'
 'VILLA JUAREZ,C.' 'QUILA, CLN. SIN' 'EJIDO GPE VICTORIA'
 'IXPALINO SAN IG' 'CUIACAN' 'CULLIACAN' 'COFRADIA NAV.' 'CAULICAN'
 'L.DE REDO QUILA' 'CENTRO' 'culiacan el dorado' 'CULIACANLEYVA' 'GUAYMAS'
 'ROSARIO' 'VILLA JUAREZ,CL' 'MAZATLAN, SIN.' 'CAIMANERO,MOCOR'
 'AGUARUTO,CLN.' 'CULIACANN' 'VILLA JUAREZ' 'SAN IGNACIO' 'TAMARINDO'
 'EL MELON' 'CULIACAN,SINALOA' 'moc.' 'COSTARRICA' 'COSTA RICA, SIN.'
 'ejido' 'EL QUEMADITO' 'EJ.' 'EJIDO portaceli' 'EJ.BACHIGUALATITO'
 'EJ.bachigualatito' 'CUALICAN, SIN.' 'PERICOS, SIN.' 'PERICOS, CLN.'
 'CULIACIAN' 'TAMAZ.VICTORIA' 'CAMPO EL 10 CLN' 'CULIACANIO'
 'ALTATA,NAV.SIN.' 'CULIACAN. SIN.' 'V.JUAREZ NAV.' 'SAN BLAS'
 'SIN. DE LEYVA' 'CILIACAN' 'PERICOS, MOC.' 'EL DORADO,  CULIACAN'
 'AGUARUTO' 'EL QUILA' 'culican' 'la' 'CULIACAN SIN.' 'BACHIGUALATITO'
 'CULIACAN., SIN.' 'CULIACAN,SIN,' 'QUILA, SIN.' 'VILLA J.NAVOLAT'
 'BADIRAGUATO' '.OSTA RICA, CLN' 'QUILA, SIN' 'LA GUAMUCHILERA'
 'V. JUAREZ, NAV.' 'PERICOS' 'V.JUAREZ, NAV.' 'VILLA A. FLORES'
 'LIMON DE LOS RA' 'V.A.F.LA' 'V.JUAREZ NAV.SI' 'CUOLIACAN'
 'V. JUAREZ NAV.' 'VILLA ANGEL F.N' 'VILLA JUAREZ,' 'EL LIMON DE L.R'
 'VILLA JUAREZ NA' 'CULILACAN' 'CUCLIACAN' 'CULIACCAN' 'EL DIEZ'
 'COSTA RICA, SINALOA' 'CULIACAN SIN' ' CULIACAN' 'Culiacan,Sin'
 'CAMPO EL DIEZ' 'BELLAVISTA' 'CULICACAN' 'OSO' 'ALTATA'
 'EJIDO LAGUNA DE BATAUTO' 'LIMON DE LOS RAMOS' 'BELLA VISTA'
 'EL TAMARINDO' 'eldorado,' 'COSTARICACULIACAN' 'JESUS' 'CUJLIACAN']"
25007.0,"['CHOIX, SIN.']"
25008.0,"['CULIACAN' 'LA CRUZ' 'EL SALADO ELOTA' 'LA' 'LA CRUZ DE ELOTA'
 'POTRERILLOS DEL NORO' 'culiacan' 'EJIDO CASAS VIEJAS' 'ELOTA' 'LA Cruz'
 'LA CRUZ DE ELOT' 'ELOTA, SIN.' 'ABOCHO' 'CULICAN' 'COSALA'
 'LA CRUZ, SIN.' 'La Cruz' 'ARROYITOS' 'ELOTA,SINALOA' 'Elota']"
25009.0,"['CULIACAN' 'ESCUINAPA' 'culiacan' 'ESCUINAPA, SIN.' 'Culiacan' 'TEACAPAN'
 'ESCUINAPA,']"
25010.0,['EL' 'EL FUERTE' 'LOS MOCHIS']
25011.0,"['GUASAVE, SIN.' 'CULIACAN, SIN.' 'SIN.DE LEYVA' 'GUASAVE' 'CULIACAN'
 'NIO GVE' 'LA TRINIDAD GVE' 'SINALOA' 'LA LIMA, CLN' 'EST.BAMOA GVE'
 'PITAYAL, GVE' 'LAS MORAS,GVE.' 'SIND.' 'TAMAZULA' 'MAXIMILIANO R. LOPEZ'
 'EL BURRION' 'LEYVA' 'EJIDO' 'guasave' 'Culiacan' 'culiacan' 'ESTACION'
 'CUBILETE' 'PALOS' 'LA COFRADIA' 'LEON FONSECA' 'AGUARUTO,CLN'
 'P.DE GALVEZ GVE' 'EJ.PORTUGUEZ GV' 'LAS GLORIAS' 'ESTACION BAMOA'
 'MAQUIPO,SINALOA' 'Culiacán' 'EST.' 'LA' 'GUASAVE,' 'EL' 'juan'
 'TAMAZULA,' 'EJ. EL CUBILETE' 'EJIDO HUICHO GUASAVE' 'SAN RAFAEL GVE'
 'BAMOA,' 'GUASAVE,SIN.' 'TAMAZULA GVE' 'C.EJ.EL GALL.GV'
 'LA ESCALERA GVE' 'SINALOA DE LEYV' 'EL PROGRESO GVE' 'TERAHUITO,'
 'EJIDO EL PROGESO' 'EJIDO EL PROGRESO' 'GUASAVE,SINALOA.'
 'LA FLORIDA, SIN.' 'RUIZ' 'EST. BAMOA,GVE' 'EST. BAMOA GVE.'
 'EL SABINO GVE' 'EJ.' 'ALHUEY' 'E.BAMOA GVE.' 'EL SACRIFIC.GVE' 'Guasave'
 'Bacubirito' 'SAN JOSE DE GUAYPARIME' 'SAN RAFAEL' 'GASAVE' 'PORTUGUES'
 'ADOLFO RUIZ CORTINES']"
25012.0,"['CULIACAN' 'MAZATLAN' nan 'LA CRUZ DE ELOT' 'MAZATLAN,' 'MAZATLAN, SIN.'
 'EL ROSARIO' 'CONCORDIA' 'VILLA UNION MAZ' 'MAZATLAN,SIN.'
 'CULIACAN, SIN.' 'ESCUINAPA' 'MAZATLAN , SINALOA' 'mazatlan' 'VILLA']"
25013.0,"['MOCORITO, SIN.' 'MOCORITO' 'PERICOS,MOCORIT' 'GUAMUCHIL' 'PERICOS'
 'CULIACAN' 'PALMAR' 'MOCORITO,' 'PERICOS,SIN.' 'EJ. JUAN ESCUTIA'
 'Culiacán' 'JUAN' 'n' 'EL' 'PERICOS, MOC' 'PERICOS MOC' 'culiacan'
 'MELCHOR OCAMPO' 'POTRERO DE LOS SAN.' 'RANCHO' 'pericos'
 'PERICOS,MOC.SIN' 'PALMARITO' 'OERICOS MOCORIT' 'PERICOS, MOC.' 'V.'
 'NAVOLATO' 'COL. MELCHOR OCAMPO' 'PERICOS,' 'RECOVECO' 'CAIMANERO'
 'CAMPO' 'EL MEZQUITE' 'GUAMUCHILERA' 'PERICOS MOC.' 'culiacan sin'
 'VILLA JUAREZ' nan 'PERICO' 'EL GALLO MOCORITO' 'CERRO AGUDO' 'EJIDO'
 'LA' 'LA GUAMUCHILERA II']"
25014.0,"['ROSARIO' 'EL ROSARIO, SIN' 'EL' 'EL ROSARIO' 'NIEBLAS,'
 'EL ROSARIO, SIN.' 'AGUA' 'POTRERILLOS' 'ROSARIO,' 'EL ROSARIO SINALOA'
 'culiacan']"
25015.0,"['CULIACAN, SIN.' 'SALVADOR ALVARA' 'SALV.ALVARADO' 'GUAMUCHIL' 'MOCORITO'
 'CULIACAN' 'GUASAVE' 'GUAMUCHI¥' 'SALVADOR' 'Guamuchil' 'SALV.'
 'ANGOSTURA' 'CULIACAN , SINALOA' 'GUAMUCHIL.' 'GUAMUCHIL, SIN' 'culiacan'
 'GUAMUCHIL, S.A.' 'ANGOSTURA, SIN.' 'V.B.JUAREZ S.AL' 'GUAMUCHIL, SAL'
 'CULIACANCITO CL' 'LA REFORMA, ANG.' 'SALV. ALVARADO' 'GUAMUCHIL,SIN.'
 'CAITIME' 'Guamuchil,' 'NAVOLATO' 'SALVADOR ALV.' 'SALVADOR ALVARADO'
 'E.' 'SALVADOR ALVAR' 'GUAMUCHIL, SIN.' 'guamuchilera' 'GUMUCHIL'
 'LOS MOCHIS' 'BATURI, ANGOSTU' 'COSTA' 'SALVADOR alvarado'
 'ANGOSTURA,SIN.' 'GUAMICHIL' 'GUAMUCHIL,SALV' 'CRUZ BLANCA' 'Culiacan'
 'TAMAZULA' 'VILLA BENITO JUAREZ']"
25016.0,['DIMAS' 'ESTACION DIMAS' 'SAN' 'SAN IGNACIO' 'culiacan' nan]
25017.0,"['GUASAVE' 'SINALOA' 'SIN. DE LEYVA' 'SINALOA DE LEYV' 'LOS T.S.DE LEYV'
 'SINALOA DE LEYVA' 'NACAVEBA' 'EJIDO' 'CULIACAN' 'CUBIRIL'
 'EL PALMAR DE L.' 'EJIDO TORREON' 'SAN' 'CUBIRI DE LA CUESTA'
 'SIN.DE LEYVA' 'culiacan']"
25018.0,"['NAVOLATO, SIN.' 'NAVOLATO' 'NAVOLATO,CLN.S.' 'CULIACAN' 'BARICUETO NAV'
 'SATAYA, NAV.' 'EL BLEDAL, NAV.' 'NAVOLATO,SIN.' 'COFR.DE LA LOMA'
 'VILLA' 'BACHIMETO' 'SAN PEDRO' 'VILLAJUAREZ' 'BACHOCO' 'NAVOLATO,'
 'EL CASTILLO' 'COFRADIA' 'YEBAVITO' 'VILLA ADOLFO LOPEZ M' 'JUAN'
 'VILLLA' 'navolato' 'SAN BLAS' 'VILLA ANGEL FLORES' 'SAN' 'BARICUETO'
 'SAN PEDRO,NAV.' 'CON.EL CAST.NAV' 'EL MOLINO, NAV.' 'JUAN ALDAMA'
 'EL POTRERO DE SATAYA' 'CAMPO' 'DAUTILLOS' 'EL' 'TECOMATE' 'LAS'
 'BACHIGUALATILLO' 'EJ.' 'PALOS' 'BACHIMETO,' 'ALTATA' 'Culiacan'
 'VILLA JUAREZ' 'ALTATA, NAV' 'VILLAMOROS' 'BALBUENA,' 'EL BOLSON'
 'SATAYA, NAV' 'LAS AGUAMITAS' 'CAMPO BALBUENA' 'DAUTILLOS, NAV.'
 'VILLA A.F.NAV' 'culiacan' 'V.' 'Navolato' 'BUENOS AIRES' 'CON.BARIOMETO'
 'LA' 'JUAN ALDAMA EL TIGRE' 'AL' 'COSTA RICA' 'Villa' 'EL REALITO'
 'CAMP.' 'REALITO SATAYA' 'altata' 'V. ANGEL F.NAV.' 'VILLA ANGEL F.'
 'LA PIPIMA NAV' 'SATAYA,NAVOLATO' 'villa' 'VILLA A. FLORES'
 'V. ANGEL FLORES' 'CULIACAN,SIN.' 'CARRET.LA VUELT' 'EJIDO EL TAPACAL'
 'los' 'LA MICHOACANA' 'EJ. LAGUNA DE BATAOTO' 'OTAMETO']"
26003.0,['ALAMOS']
26025.0,['EMPALME']
26029.0,['CULIACAN' 'GUAYMAS']
26033.0,"['CULIACAN, SIN.']"
26043.0,['CULIACANCITO']
26055.0,['CULIACAN']
30160.0,['CULIACAN']
30176.0,['CULIACAN']
30193.0,['CULIACAN']
99999.0,"['EL ROSARIO' 'CULIACAN' 'ROSARIO' 'GUAMUCHIL' nan 'CULIACAN.'
 'CULIACAN, SIN.' 'CULIACAN,SIN.' 'SIN. DE LEYVA' 'MAZATLAN'
 'LA CRUZ ELOTA' 'PUE.NUEVO ELOTA' 'GUASAVE' 'NAVOLATO' 'CULIACAM'
 'LOS MOCHIS' 'EL DORADO' 'LA CRUZ' 'EST. BAMOA' 'MAZATLAN,SIN.'
 'ROSARIO,SINALOA' 'PORTALES' 'PERICOS' 'ELDORADO' 'MEXICO' 'Culiacán']"
